Latitude (decimal degrees):	48.265
Longitude (decimal degrees):	11.669
Elevation (m):	476
Radiation database:	PVGIS-SARAH3


Slope: 38 deg. (optimum)
Azimuth: 1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	0.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20120416:1310,149.76,0.0,159.23,3.73,44.63,6.06,2.76,0.0
20120416:1410,123.79,0.0,135.07,3.17,36.87,6.66,2.55,0.0
20120416:1510,89.0,0.0,101.98,2.39,27.74,6.74,1.79,0.0
20120416:1610,95.9,5.98,103.32,2.54,17.95,6.57,1.1,0.0
20120416:1710,31.15,2.5,43.35,1.15,7.98,6.27,0.62,0.0
20120416:1810,0.0,0.0,0.0,0.0,0.0,5.65,0.14,0.0
20120416:1910,0.0,0.0,0.0,0.0,0.0,4.27,1.24,0.0
20120416:2010,0.0,0.0,0.0,0.0,0.0,3.38,0.69,0.0
20120416:2110,0.0,0.0,0.0,0.0,0.0,2.71,0.9,0.0
20120416:2210,0.0,0.0,0.0,0.0,0.0,2.34,1.31,0.0
20120416:2310,0.0,0.0,0.0,0.0,0.0,1.81,1.52,0.0
20120417:0010,0.0,0.0,0.0,0.0,0.0,0.71,1.59,0.0
20120417:0110,0.0,0.0,0.0,0.0,0.0,-0.25,1.45,0.0
20120417:0210,0.0,0.0,0.0,0.0,0.0,-0.49,1.03,0.0
20120417:0310,0.0,0.0,0.0,0.0,0.0,-0.28,0.69,0.0
20120417:0410,0.0,0.0,0.0,0.0,0.0,-0.46,0.55,0.0
20120417:0510,29.47,1.65,40.79,1.59,7.41,-0.36,0.55,0.0
20120417:0610,178.09,75.59,119.13,4.53,17.38,0.95,0.34,0.0
20120417:0710,459.47,320.51,140.18,9.02,27.21,3.05,0.76,0.0
20120417:0810,430.59,143.64,284.84,8.76,36.43,4.67,1.03,0.0
20120417:0910,484.75,143.54,342.24,9.96,44.37,5.99,1.1,0.0
20120417:1010,463.37,100.26,366.54,9.9,50.02,6.64,0.97,0.0
20120417:1110,316.35,16.44,306.36,7.4,52.22,7.89,0.83,0.0
20120417:1210,615.5,246.5,385.62,12.22,50.34,7.99,0.76,0.0
20120417:1310,559.36,223.73,348.94,11.13,44.92,8.48,0.69,0.0
20120417:1410,670.09,487.74,202.83,12.22,37.12,8.66,0.9,0.0
20120417:1510,499.07,377.23,132.77,9.46,27.97,8.71,1.17,0.0
20120417:1610,227.19,140.83,110.21,5.37,18.17,8.79,1.1,0.0
20120417:1710,36.1,16.61,43.72,1.97,8.2,8.28,1.1,0.0
20120417:1810,0.0,0.0,0.0,0.0,0.0,7.08,1.59,0.0
20120417:1910,0.0,0.0,0.0,0.0,0.0,5.6,2.34,0.0
20120417:2010,0.0,0.0,0.0,0.0,0.0,4.61,2.41,0.0
20120417:2110,0.0,0.0,0.0,0.0,0.0,3.93,2.14,0.0
20120417:2210,0.0,0.0,0.0,0.0,0.0,3.32,1.86,0.0
20120417:2310,0.0,0.0,0.0,0.0,0.0,2.66,1.59,0.0
20120418:0010,0.0,0.0,0.0,0.0,0.0,2.02,1.38,0.0
20120418:0110,0.0,0.0,0.0,0.0,0.0,1.63,1.38,0.0
20120418:0210,0.0,0.0,0.0,0.0,0.0,1.08,1.31,0.0
20120418:0310,0.0,0.0,0.0,0.0,0.0,0.51,1.17,0.0
20120418:0410,0.0,0.0,0.0,0.0,0.0,0.04,1.03,0.0
20120418:0510,15.82,0.0,26.84,0.63,7.71,0.43,0.83,0.0
20120418:0610,22.91,0.0,34.89,0.82,17.68,2.33,0.34,0.0
20120418:0710,200.66,22.57,185.78,4.74,27.51,5.89,1.03,0.0
20120418:0810,261.46,24.58,242.82,6.06,36.75,7.61,1.52,0.0
20120418:0910,428.3,100.08,332.62,9.16,44.71,9.13,1.86,0.0
20120418:1010,400.97,62.36,345.73,8.93,50.38,9.99,1.66,0.0
20120418:1110,440.92,83.09,368.09,9.71,52.57,10.47,1.24,0.0
20120418:1210,426.38,80.51,356.89,9.41,50.66,10.82,1.1,0.0
20120418:1310,469.52,139.24,342.66,9.88,45.2,11.06,1.1,0.0
20120418:1410,220.05,10.88,221.36,5.35,37.37,11.72,1.17,0.0
20120418:1510,159.79,7.96,165.42,4.0,28.2,11.53,1.1,0.0
20120418:1610,87.96,3.89,99.55,2.41,18.39,11.27,0.83,0.0
20120418:1710,7.14,0.0,17.0,0.4,8.42,10.16,0.62,0.0
20120418:1810,0.0,0.0,0.0,0.0,0.0,8.75,1.45,0.0
20120418:1910,0.0,0.0,0.0,0.0,0.0,6.98,0.55,0.0
20120418:2010,0.0,0.0,0.0,0.0,0.0,6.38,0.14,0.0
20120418:2110,0.0,0.0,0.0,0.0,0.0,5.06,0.76,0.0
20120418:2210,0.0,0.0,0.0,0.0,0.0,4.14,0.9,0.0
20120418:2310,0.0,0.0,0.0,0.0,0.0,3.45,1.38,0.0
20120419:0010,0.0,0.0,0.0,0.0,0.0,3.02,1.24,0.0
20120419:0110,0.0,0.0,0.0,0.0,0.0,2.56,0.97,0.0
20120419:0210,0.0,0.0,0.0,0.0,0.0,2.84,0.48,0.0
20120419:0310,0.0,0.0,0.0,0.0,0.0,2.3,0.69,0.0
20120419:0410,0.0,0.0,0.0,0.0,0.0,1.32,1.1,0.0
20120419:0510,32.81,2.38,44.37,1.7,8.01,1.26,0.97,0.0
20120419:0610,213.14,162.87,79.56,5.79,17.97,3.97,0.62,0.0
20120419:0710,478.24,378.86,110.86,9.65,27.81,7.46,0.83,0.0
20120419:0810,689.93,580.61,134.75,12.98,37.06,9.58,0.9,0.0
20120419:0910,838.51,762.55,143.47,15.75,45.04,11.11,0.48,0.0
20120419:1010,906.31,855.29,161.12,17.3,50.73,12.28,0.07,0.0
20120419:1110,883.87,716.75,257.14,16.69,52.92,13.22,0.69,0.0
20120419:1210,929.79,853.79,168.81,17.28,50.98,13.92,1.17,0.0
20120419:1310,850.36,761.78,156.39,15.71,45.48,14.35,1.38,0.0
20120419:1410,662.56,514.12,184.24,12.43,37.62,14.56,1.31,0.0
20120419:1510,500.33,409.57,114.49,9.81,28.42,14.48,1.52,0.0
20120419:1610,238.76,182.67,89.49,5.89,18.6,14.02,1.31,0.0
20120419:1710,37.92,14.26,47.4,1.97,8.64,13.08,1.24,0.0
20120419:1810,0.0,0.0,0.0,0.0,0.0,11.76,1.59,0.0
20120419:1910,0.0,0.0,0.0,0.0,0.0,10.33,2.0,0.0
20120419:2010,0.0,0.0,0.0,0.0,0.0,8.96,1.66,0.0
20120419:2110,0.0,0.0,0.0,0.0,0.0,7.84,1.31,0.0
20120419:2210,0.0,0.0,0.0,0.0,0.0,7.49,2.34,0.0
20120419:2310,0.0,0.0,0.0,0.0,0.0,7.2,3.03,0.0
20120420:0010,0.0,0.0,0.0,0.0,0.0,6.88,3.24,0.0
20120420:0110,0.0,0.0,0.0,0.0,0.0,6.56,3.1,0.0
20120420:0210,0.0,0.0,0.0,0.0,0.0,6.07,2.76,0.0
20120420:0310,0.0,0.0,0.0,0.0,0.0,5.63,2.41,0.0
20120420:0410,0.0,0.0,0.0,0.0,0.0,5.04,2.21,0.0
20120420:0510,28.81,4.3,40.22,1.99,8.3,4.96,2.07,0.0
20120420:0610,85.35,2.54,95.81,2.31,18.26,5.56,1.86,0.0
20120420:0710,103.84,0.0,116.29,2.73,28.11,6.73,1.59,0.0
20120420:0810,556.49,304.26,256.67,10.76,37.37,8.21,1.72,0.0
20120420:0910,208.66,1.21,217.49,5.12,45.37,9.38,1.52,0.0
20120420:1010,541.02,172.98,380.89,11.24,51.07,10.56,1.52,0.0
20120420:1110,189.49,0.0,202.16,4.74,53.26,11.55,1.45,0.0
20120420:1210,206.34,0.0,219.16,5.14,51.3,12.22,1.59,0.0
20120420:1310,443.51,115.64,340.51,9.54,45.76,12.36,1.52,0.0
20120420:1410,292.69,40.59,262.23,6.73,37.86,12.07,1.93,0.0
20120420:1510,178.45,12.31,177.54,4.36,28.65,10.65,2.97,0.0
20120420:1610,12.85,0.0,24.15,0.57,18.82,9.16,2.83,0.0
20120420:1710,38.4,3.39,51.01,1.4,8.86,8.81,2.48,0.0
20120420:1810,0.0,0.0,0.0,0.0,0.0,8.27,2.55,0.0
20120420:1910,0.0,0.0,0.0,0.0,0.0,7.28,2.14,0.0
20120420:2010,0.0,0.0,0.0,0.0,0.0,6.98,2.21,0.0
20120420:2110,0.0,0.0,0.0,0.0,0.0,6.67,2.62,0.0
20120420:2210,0.0,0.0,0.0,0.0,0.0,6.22,2.9,0.0
20120420:2310,0.0,0.0,0.0,0.0,0.0,5.72,2.9,0.0
20120421:0010,0.0,0.0,0.0,0.0,0.0,5.18,2.69,0.0
20120421:0110,0.0,0.0,0.0,0.0,0.0,4.65,2.28,0.0
20120421:0210,0.0,0.0,0.0,0.0,0.0,4.0,2.07,0.0
20120421:0310,0.0,0.0,0.0,0.0,0.0,3.37,2.0,0.0
20120421:0410,0.0,0.0,0.0,0.0,0.0,2.66,1.86,0.0
20120421:0510,29.33,5.62,39.97,2.18,8.59,2.09,1.66,0.0
20120421:0610,217.39,163.36,82.69,5.95,18.55,4.72,1.1,0.0
20120421:0710,459.79,328.37,139.48,9.37,28.4,8.05,1.59,0.0
20120421:0810,656.27,471.65,192.93,12.33,37.68,10.17,2.76,0.0
20120421:0910,725.58,447.21,294.65,13.59,45.69,11.37,3.1,0.0
20120421:1010,848.18,585.42,296.27,15.6,51.41,12.45,3.31,0.0
20120421:1110,688.5,316.63,393.04,13.48,53.6,13.11,3.17,0.0
20120421:1210,668.98,313.76,380.54,13.17,51.61,13.79,2.62,0.0
20120421:1310,683.63,400.23,316.52,13.15,46.03,14.3,1.93,0.0
20120421:1410,352.12,81.89,285.35,7.86,38.1,14.57,1.31,0.0
20120421:1510,394.7,214.4,200.74,8.24,28.87,14.61,0.76,0.0
20120421:1610,241.14,188.84,87.79,6.1,19.03,14.35,0.48,0.0
20120421:1710,32.27,26.9,36.74,2.54,9.07,13.74,0.34,0.0
20120421:1810,0.0,0.0,0.0,0.0,0.0,12.89,0.14,0.0
20120421:1910,0.0,0.0,0.0,0.0,0.0,10.16,2.14,0.0
20120421:2010,0.0,0.0,0.0,0.0,0.0,9.06,1.31,0.0
20120421:2110,0.0,0.0,0.0,0.0,0.0,8.78,1.86,0.0
20120421:2210,0.0,0.0,0.0,0.0,0.0,7.55,4.34,0.0
20120421:2310,0.0,0.0,0.0,0.0,0.0,6.53,4.62,0.0
20120422:0010,0.0,0.0,0.0,0.0,0.0,5.83,3.52,0.0
20120422:0110,0.0,0.0,0.0,0.0,0.0,5.55,3.31,0.0
20120422:0210,0.0,0.0,0.0,0.0,0.0,5.63,3.24,0.0
20120422:0310,0.0,0.0,0.0,0.0,0.0,5.41,3.1,0.0
20120422:0410,0.0,0.0,0.0,0.0,0.0,5.23,3.31,0.0
20120422:0510,33.2,0.36,46.06,1.15,8.87,5.22,2.97,0.0
20120422:0610,36.96,0.0,50.09,1.17,18.83,5.4,2.83,0.0
20120422:0710,172.53,8.36,172.51,4.19,28.69,6.69,3.72,0.0
20120422:0810,128.12,0.0,139.55,3.27,37.98,7.39,2.83,0.0
20120422:0910,153.73,0.0,164.59,3.86,46.01,8.17,2.28,0.0
20120422:1010,328.79,22.04,310.63,7.59,51.75,8.23,2.28,0.0
20120422:1110,397.35,46.97,351.22,8.87,53.94,8.38,3.17,0.0
20120422:1210,289.9,9.88,283.88,6.79,51.92,8.05,3.24,0.0
20120422:1310,223.23,2.44,228.36,5.39,46.31,8.48,2.9,0.0
20120422:1410,76.17,0.0,90.35,2.12,38.34,9.32,3.03,0.0
20120422:1510,407.31,208.37,202.71,8.22,29.09,9.54,3.24,0.0
20120422:1610,255.25,195.1,85.55,6.25,19.25,8.3,3.79,0.0
20120422:1710,1.78,0.0,8.95,0.21,9.29,7.84,2.97,0.0
20120422:1810,0.0,0.0,0.0,0.0,0.0,7.3,2.41,0.0
20120422:1910,0.0,0.0,0.0,0.0,0.0,6.19,2.21,0.0
20120422:2010,0.0,0.0,0.0,0.0,0.0,5.37,2.07,0.0
20120422:2110,0.0,0.0,0.0,0.0,0.0,4.76,2.07,0.0
20120422:2210,0.0,0.0,0.0,0.0,0.0,4.09,2.14,0.0
20120422:2310,0.0,0.0,0.0,0.0,0.0,3.56,2.14,0.0
20120423:0010,0.0,0.0,0.0,0.0,0.0,3.01,2.14,0.0
20120423:0110,0.0,0.0,0.0,0.0,0.0,2.47,2.0,0.0
20120423:0210,0.0,0.0,0.0,0.0,0.0,1.71,1.86,0.0
20120423:0310,0.0,0.0,0.0,0.0,0.0,0.71,1.66,0.0
20120423:0410,0.0,0.0,0.0,0.0,0.0,0.55,1.31,0.0
20120423:0510,38.52,5.07,49.49,2.14,9.15,1.4,0.9,0.0
20120423:0610,183.8,66.73,133.06,4.76,19.11,3.52,0.48,0.0
20120423:0710,389.6,198.34,199.21,8.26,28.97,6.5,0.21,0.0
20120423:0810,527.87,263.96,275.34,10.61,38.28,8.42,0.55,0.0
20120423:0910,542.92,209.54,350.79,11.22,46.33,9.58,0.41,0.0
20120423:1010,757.96,471.69,340.81,14.82,52.09,10.89,0.34,0.0
20120423:1110,861.23,653.51,289.87,16.56,54.28,11.91,0.48,0.0
20120423:1210,814.73,567.71,309.61,15.6,52.23,12.64,0.97,0.0
20120423:1310,743.35,499.22,283.32,14.11,46.58,13.12,1.66,0.0
20120423:1410,596.01,361.24,252.88,11.51,38.58,13.11,2.14,0.0
20120423:1510,422.24,240.74,194.03,8.64,29.31,12.8,2.34,0.0
20120423:1610,233.13,152.55,108.14,5.85,19.46,12.32,2.14,0.0
20120423:1710,38.6,21.23,45.09,2.45,9.5,11.72,1.52,0.0
20120423:1810,0.0,0.0,0.0,0.0,0.0,10.53,1.59,0.0
20120423:1910,0.0,0.0,0.0,0.0,0.0,9.43,2.14,0.0
20120423:2010,0.0,0.0,0.0,0.0,0.0,8.52,2.07,0.0
20120423:2110,0.0,0.0,0.0,0.0,0.0,7.82,1.86,0.0
20120423:2210,0.0,0.0,0.0,0.0,0.0,7.36,1.72,0.0
20120423:2310,0.0,0.0,0.0,0.0,0.0,7.15,1.72,0.0
20120424:0010,0.0,0.0,0.0,0.0,0.0,6.88,1.86,0.0
20120424:0110,0.0,0.0,0.0,0.0,0.0,6.09,1.79,0.0
20120424:0210,0.0,0.0,0.0,0.0,0.0,4.76,1.31,0.0
20120424:0310,0.0,0.0,0.0,0.0,0.0,4.9,0.83,0.0
20120424:0410,0.0,0.0,0.0,0.0,0.0,3.65,1.38,0.0
20120424:0510,18.64,0.0,30.41,0.71,9.43,4.35,1.45,0.0
20120424:0610,27.47,0.0,40.25,0.94,19.38,5.79,1.24,0.0
20120424:0710,67.02,0.0,80.51,1.89,29.25,6.48,1.79,0.0
20120424:0810,79.97,0.0,93.03,2.18,38.57,6.56,3.1,0.0
20120424:0910,126.68,0.0,136.86,3.21,46.64,5.22,3.17,0.0
20120424:1010,139.81,0.0,148.49,3.48,52.42,3.7,2.34,0.0
20120424:1110,260.31,2.45,257.89,6.08,54.61,3.18,2.76,0.0
20120424:1210,211.35,0.0,215.58,5.05,52.54,4.45,3.17,0.0
20120424:1310,272.53,10.85,264.28,6.35,46.84,6.08,2.69,0.0
20120424:1410,368.85,81.63,286.7,7.93,38.82,7.47,2.97,0.0
20120424:1510,331.93,114.06,221.51,7.09,29.53,8.4,2.83,0.0
20120424:1610,120.12,10.91,123.22,3.12,19.67,9.36,2.9,0.0
20120424:1710,10.65,0.0,21.47,0.5,9.71,9.45,2.9,0.0
20120424:1810,0.0,0.0,0.0,0.0,0.0,8.33,3.45,0.0
20120424:1910,0.0,0.0,0.0,0.0,0.0,7.05,3.38,0.0
20120424:2010,0.0,0.0,0.0,0.0,0.0,6.82,3.93,0.0
20120424:2110,0.0,0.0,0.0,0.0,0.0,6.19,3.79,0.0
20120424:2210,0.0,0.0,0.0,0.0,0.0,5.86,4.21,0.0
20120424:2310,0.0,0.0,0.0,0.0,0.0,5.66,4.62,0.0
20120425:0010,0.0,0.0,0.0,0.0,0.0,5.64,4.69,0.0
20120425:0110,0.0,0.0,0.0,0.0,0.0,5.5,4.62,0.0
20120425:0210,0.0,0.0,0.0,0.0,0.0,5.31,4.48,0.0
20120425:0310,0.0,0.0,0.0,0.0,0.0,4.99,4.0,0.0
20120425:0410,0.0,0.0,0.0,0.0,0.0,4.63,3.31,0.0
20120425:0510,32.12,9.25,42.18,2.56,9.7,4.48,2.48,0.0
20120425:0610,229.02,176.73,81.54,6.44,19.65,5.84,1.59,0.0
20120425:0710,494.6,390.58,111.64,10.25,29.53,8.4,2.07,0.0
20120425:0810,710.29,598.85,130.18,13.63,38.86,10.16,1.86,0.0
20120425:0910,861.9,780.79,136.52,16.38,46.95,11.62,1.38,0.0
20120425:1010,936.42,860.23,159.52,17.8,52.74,13.03,1.38,0.0
20120425:1110,973.17,901.7,162.01,18.39,54.94,14.33,1.86,0.0
20120425:1210,957.76,891.5,149.29,18.01,52.84,15.4,2.28,0.0
20120425:1310,853.38,753.55,158.93,16.06,47.11,16.2,2.48,0.0
20120425:1410,709.59,609.93,136.91,13.59,39.05,16.89,2.62,0.0
20120425:1510,433.51,272.87,182.28,9.06,29.74,17.26,2.62,0.0
20120425:1610,241.1,187.17,89.98,6.33,19.88,17.12,2.48,0.0
20120425:1710,41.87,2.73,56.4,1.51,9.92,15.87,2.28,0.0
20120425:1810,0.0,0.0,0.0,0.0,0.0,13.91,2.62,0.0
20120425:1910,0.0,0.0,0.0,0.0,0.0,12.74,2.62,0.0
20120425:2010,0.0,0.0,0.0,0.0,0.0,11.67,2.97,0.0
20120425:2110,0.0,0.0,0.0,0.0,0.0,10.77,2.9,0.0
20120425:2210,0.0,0.0,0.0,0.0,0.0,9.97,2.76,0.0
20120425:2310,0.0,0.0,0.0,0.0,0.0,9.33,2.55,0.0
20120426:0010,0.0,0.0,0.0,0.0,0.0,8.72,2.28,0.0
20120426:0110,0.0,0.0,0.0,0.0,0.0,8.1,2.14,0.0
20120426:0210,0.0,0.0,0.0,0.0,0.0,7.51,2.21,0.0
20120426:0310,0.0,0.0,0.0,0.0,0.0,7.07,2.28,0.0
20120426:0410,0.0,0.0,0.0,0.0,0.0,6.72,2.21,0.0
20120426:0510,28.06,11.92,37.45,2.79,9.97,6.65,1.79,0.0
20120426:0610,205.34,111.01,118.74,5.62,19.92,8.46,0.97,0.0
20120426:0710,474.19,377.95,115.07,10.13,29.8,13.06,1.79,0.0
20120426:0810,678.14,580.07,135.85,13.46,39.14,15.35,1.52,0.0
20120426:0910,805.32,737.3,153.22,16.0,47.25,17.3,0.69,0.0
20120426:1010,872.54,833.69,166.42,17.55,53.07,18.89,0.34,0.0
20120426:1110,918.44,897.91,157.94,18.33,55.26,20.09,0.83,0.0
20120426:1210,895.13,864.58,155.17,17.74,53.14,20.87,1.1,0.0
20120426:1310,801.61,739.22,160.3,15.91,47.37,21.37,1.03,0.0
20120426:1410,663.49,582.33,145.62,13.34,39.28,21.67,1.1,0.0
20120426:1510,465.93,376.98,128.13,9.94,29.96,21.71,1.45,0.0
20120426:1610,233.74,185.28,89.57,6.33,20.08,21.28,1.93,0.0
20120426:1710,44.04,16.1,54.55,2.41,10.13,20.0,2.14,0.0
20120426:1810,0.0,0.0,0.0,0.0,0.0,17.94,2.41,0.0
20120426:1910,0.0,0.0,0.0,0.0,0.0,17.91,2.21,0.0
20120426:2010,0.0,0.0,0.0,0.0,0.0,16.04,2.34,0.0
20120426:2110,0.0,0.0,0.0,0.0,0.0,14.88,2.28,0.0
20120426:2210,0.0,0.0,0.0,0.0,0.0,13.68,2.14,0.0
20120426:2310,0.0,0.0,0.0,0.0,0.0,11.96,2.14,0.0
20120427:0010,0.0,0.0,0.0,0.0,0.0,10.71,2.21,0.0
20120427:0110,0.0,0.0,0.0,0.0,0.0,9.73,2.07,0.0
20120427:0210,0.0,0.0,0.0,0.0,0.0,8.91,1.93,0.0
20120427:0310,0.0,0.0,0.0,0.0,0.0,8.23,1.72,0.0
20120427:0410,0.0,0.0,0.0,0.0,0.0,7.7,1.52,0.0
20120427:0510,29.6,12.69,38.95,2.87,10.24,7.42,1.03,0.0
20120427:0610,225.48,175.64,83.77,6.54,20.18,9.98,0.62,0.0
20120427:0710,472.46,379.69,116.76,10.25,30.07,13.47,0.9,0.0
20120427:0810,637.87,486.87,187.2,12.83,39.42,16.37,1.59,0.0
20120427:0910,817.41,724.62,161.45,16.0,47.55,18.9,2.21,0.0
20120427:1010,894.88,806.22,183.49,17.47,53.39,20.93,2.48,0.0
20120427:1110,900.64,796.18,214.17,17.72,55.58,22.59,2.34,0.0
20120427:1210,863.67,766.7,209.02,17.15,53.43,23.84,2.0,0.0
20120427:1310,777.14,673.95,197.08,15.56,47.63,24.73,1.86,0.0
20120427:1410,656.61,572.28,151.46,13.34,39.51,25.23,2.0,0.0
20120427:1510,425.13,293.55,172.43,9.33,30.17,25.29,2.07,0.0
20120427:1610,230.77,182.57,92.97,6.4,20.29,24.66,1.86,0.0
20120427:1710,37.89,24.11,45.46,2.77,10.34,23.18,2.0,0.0
20120427:1810,0.0,0.0,0.0,0.0,0.0,20.8,2.55,0.0
20120427:1910,0.0,0.0,0.0,0.0,0.0,18.85,2.41,0.0
20120427:2010,0.0,0.0,0.0,0.0,0.0,17.31,2.34,0.0
20120427:2110,0.0,0.0,0.0,0.0,0.0,15.98,2.28,0.0
20120427:2210,0.0,0.0,0.0,0.0,0.0,14.79,2.28,0.0
20120427:2310,0.0,0.0,0.0,0.0,0.0,13.93,2.14,0.0
20120428:0010,0.0,0.0,0.0,0.0,0.0,13.12,2.0,0.0
20120428:0110,0.0,0.0,0.0,0.0,0.0,12.34,1.86,0.0
20120428:0210,0.0,0.0,0.0,0.0,0.0,11.14,1.45,0.0
20120428:0310,0.0,0.0,0.0,0.0,0.0,12.07,0.9,0.0
20120428:0410,0.0,0.0,0.0,0.0,0.0,10.8,1.03,0.0
20120428:0510,34.41,12.15,44.48,2.87,10.49,9.32,1.31,0.0
20120428:0610,223.08,167.22,90.88,6.52,20.44,12.35,0.69,0.0
20120428:0710,464.01,376.4,121.4,10.34,30.33,17.95,0.97,0.0
20120428:0810,649.7,555.37,153.84,13.48,39.69,21.42,1.24,0.0
20120428:0910,760.27,634.14,215.53,15.52,47.85,24.19,1.72,0.0
20120428:1010,865.48,784.98,200.52,17.49,53.7,26.1,2.28,0.0
20120428:1110,919.26,892.95,166.26,18.54,55.9,27.43,2.55,0.0
20120428:1210,888.09,847.62,171.22,17.89,53.72,28.3,2.76,0.0
20120428:1310,809.67,756.03,157.61,16.29,47.88,28.68,3.1,0.0
20120428:1410,663.39,588.6,147.11,13.61,39.74,28.57,3.03,0.0
20120428:1510,468.25,394.03,124.62,10.32,30.38,28.31,2.83,0.0
20120428:1610,233.82,193.05,88.92,6.6,20.49,27.08,2.55,0.0
20120428:1710,38.31,25.06,45.86,2.87,10.55,24.94,2.9,0.0
20120428:1810,0.0,0.0,0.0,0.0,0.0,22.47,3.17,0.0
20120428:1910,0.0,0.0,0.0,0.0,0.0,20.92,3.38,0.0
20120428:2010,0.0,0.0,0.0,0.0,0.0,19.57,3.38,0.0
20120428:2110,0.0,0.0,0.0,0.0,0.0,18.45,3.45,0.0
20120428:2210,0.0,0.0,0.0,0.0,0.0,17.57,3.45,0.0
20120428:2310,0.0,0.0,0.0,0.0,0.0,16.93,3.52,0.0
20120429:0010,0.0,0.0,0.0,0.0,0.0,16.43,3.45,0.0
20120429:0110,0.0,0.0,0.0,0.0,0.0,15.91,3.38,0.0
20120429:0210,0.0,0.0,0.0,0.0,0.0,15.39,3.31,0.0
20120429:0310,0.0,0.0,0.0,0.0,0.0,14.85,3.24,0.0
20120429:0410,0.0,0.0,0.0,0.0,0.0,14.32,3.24,0.0
20120429:0510,23.1,0.0,36.68,0.86,10.75,14.47,3.31,0.0
20120429:0610,77.33,0.0,93.93,2.2,20.69,15.85,3.45,0.0
20120429:0710,157.08,5.0,170.34,4.09,30.58,18.77,3.03,0.0
20120429:0810,110.33,0.0,129.71,3.04,39.96,21.02,3.38,0.0
20120429:0910,112.39,0.0,132.39,3.1,48.13,22.07,3.38,0.0
20120429:1010,113.98,0.0,134.18,3.15,54.01,22.3,3.17,0.0
20120429:1110,109.6,0.0,129.71,3.04,56.21,22.17,2.83,0.0
20120429:1210,105.54,0.0,125.23,2.94,54.01,21.56,2.76,0.0
20120429:1310,115.56,0.0,135.07,3.17,48.14,20.53,1.86,0.0
20120429:1410,98.51,0.0,117.18,2.75,39.96,19.69,2.34,0.0
20120429:1510,56.12,0.0,73.35,1.72,30.58,19.29,2.69,0.0
20120429:1610,16.44,0.0,29.52,0.69,20.69,19.57,2.76,0.0
20120429:1710,19.53,0.0,33.1,0.78,10.75,18.56,2.48,0.0
20120429:1810,0.0,0.0,0.0,0.0,0.0,17.62,2.48,0.0
20120429:1910,0.0,0.0,0.0,0.0,0.0,17.58,2.69,0.0
20120429:2010,0.0,0.0,0.0,0.0,0.0,16.66,2.48,0.0
20120429:2110,0.0,0.0,0.0,0.0,0.0,15.67,2.21,0.0
20120429:2210,0.0,0.0,0.0,0.0,0.0,14.93,2.21,0.0
20120429:2310,0.0,0.0,0.0,0.0,0.0,14.18,2.21,0.0
20120430:0010,0.0,0.0,0.0,0.0,0.0,13.67,2.21,0.0
20120430:0110,0.0,0.0,0.0,0.0,0.0,13.1,2.21,0.0
20120430:0210,0.0,0.0,0.0,0.0,0.0,12.7,2.21,0.0
20120430:0310,0.0,0.0,0.0,0.0,0.0,11.98,2.21,0.0
20120430:0410,0.0,0.0,0.84,0.02,1.39,11.64,2.0,0.0
20120430:0510,40.7,0.34,55.19,1.34,11.0,11.69,1.86,0.0
20120430:0610,185.33,64.84,142.7,5.05,20.94,13.05,1.45,0.0
20120430:0710,418.32,261.6,177.72,9.29,30.84,14.74,1.24,0.0
20120430:0810,640.01,511.54,171.83,13.15,40.23,16.44,0.9,0.0
20120430:0910,777.34,642.5,202.75,15.54,48.42,18.25,1.52,0.0
20120430:1010,865.24,721.83,225.08,17.01,54.31,19.97,2.55,0.0
20120430:1110,862.53,662.29,277.45,16.88,56.52,21.28,3.45,0.0
20120430:1210,902.22,801.3,183.77,17.47,54.29,22.14,3.86,0.0
20120430:1310,822.48,725.79,163.75,16.02,48.39,22.73,4.0,0.0
20120430:1410,667.65,554.26,157.13,13.31,40.18,22.84,4.14,0.0
20120430:1510,469.98,370.12,131.33,10.11,30.79,22.38,4.07,0.0
20120430:1610,234.0,180.07,93.76,6.5,20.89,21.62,3.03,0.0
20120430:1710,42.59,22.5,50.53,2.85,10.95,20.95,2.76,0.0
20120430:1810,0.0,0.0,0.0,0.0,0.0,19.57,2.55,0.0
20120430:1910,0.0,0.0,0.0,0.0,0.0,18.51,2.41,0.0
20120430:2010,0.0,0.0,0.0,0.0,0.0,17.31,2.34,0.0
20120430:2110,0.0,0.0,0.0,0.0,0.0,16.3,2.34,0.0
20120430:2210,0.0,0.0,0.0,0.0,0.0,15.58,2.48,0.0
20120430:2310,0.0,0.0,0.0,0.0,0.0,14.81,2.48,0.0
20120501:0010,0.0,0.0,0.0,0.0,0.0,13.98,2.41,0.0
20120501:0110,0.0,0.0,0.0,0.0,0.0,13.18,2.34,0.0
20120501:0210,0.0,0.0,0.0,0.0,0.0,12.45,2.34,0.0
20120501:0310,0.0,0.0,0.0,0.0,0.0,11.86,2.41,0.0
20120501:0410,0.0,0.0,4.18,0.1,1.64,11.55,2.69,0.0
20120501:0510,40.61,12.62,51.06,2.96,11.24,11.61,3.03,0.0
20120501:0610,224.82,157.5,98.41,6.54,21.18,12.66,3.31,0.0
